id,ja,zh-CN
speedometer,メータ(CAN),仪表盘
afs,AFS,AFS
reference,照合,参考
navigation_system,ナビゲーションシステム,导航系统
detected_error_code,検出エラーコード,检测出故障码
system,システム名,系统名
error_code,エラーコード,故障码
error_code_state,エラーコードステータス,故障码状态
present,現在,现在
past,過去,过去
pending,ペンディング,待定
mainbody,メインボディー,车身
good_condition,コンディション,良好状态
detected_nothing_special,診断結果からお車の異常は見受けられませんでした。,诊断结果中没有发现汽车存在异常情况。
detected_problem,異常の兆候が見られます。,发现异常
detected_problem_on_body,ボディ系に異常の兆候が見られます。,车身系统发现异常征兆，
recommend_inspection,点検することをおすすめ致します。,建议进行检修。
refer_to_details,詳細は以下の通り。,详情如下
immobilizer_and_ecu_communication_error,イモビ：別体ECU通信異常,发动机电子防盗系统：ECU通信异常
id_codebox_and_engine_communication_error,IDコードボックス-->エンジン間通信異常,ID代码盒-->发动机之间通信异常
ac_can,A/C (CAN),A/C (CAN)
ac_air_conditioner,A/C（空調）,A/C（空调）
navigator_side_sun_load_sensor_output_abnormal,（ナビゲータ側）日照センサー（室内出力正常）,（副驾驶座椅）日照传感器（室内输出为正常）
driver_side_sun_load_sensor_output_abnormal,（ドライバー側）日照センサー（室内出力正常）,（驾驶座椅）日照传感器（室内输出为正常）
#,,
# ---------------------------------------   engine diagnosis result detail  ---------------------------------------------,,
#,,
inspection_condition,コンディション,状态
item,項目,项目
inspect_condition,測定条件,检测条件
previous_time,前回,上次
this_time,今回,本次
reference_value,参考値,参考値
engine_start,始動,启动
idle_rpm,アイドル回転数,怠速转速
air_fuel_ratio_bank1,空燃比バンク1,空燃比气缸列1
coolant,冷却水,冷却水
battery_charging_level,充電,充电
throttle_sensor_bank1,スロットルセンサーバンク1,节气门传感器气缸列1
manifold_absolute_pressure_sensor,吸気管圧力センサー,进气管压力传感器
aero_flow_meter_bank1,エアロフロメーターバンク1,空气流量计气缸列1
air_fuel_ratio_sensor_bank1_sensor1,A/Fセンサーバンク1センサー1,A/F传感器气缸列1传感器1
oxygen_sensor_bank1_sensor1,O2センサーバンク1センサー1,氧传感器气缸列1传感器1
control_state,制御状態,控制状态
correction_value,補正値,修正值
learned_value,学習値,学习值
idle,アイドル,怠速
neutral,ニュートラル,（空挡）
inspecting,実施中1,进行中
not_greater,以下,以下
lean,リーン,稀
rich,リッチ,浓
stamp_on_accel_pedal,アクセル全開,油门全开
release_accel_pedal,アクセル全閉,油门全关
times,倍,倍
greater,以上,以上
#,,
# ------------------------------  header tab  ---------------------------------------,,
#,,
search_case,修理事例検索,修理事例检索
# inquiry_case,,
inquiry_case_title,修理事例問い合せ,修理事例问询
poster,投稿者,作者
brand,ブランド,品牌
brand_toyota,トヨタ,丰田
brand_nissan,日産,日产
brand_honda,ホンダ,本田
brand_mazda,マツダ,马自达
brand_suzuki,スズキ,铃木
brand_daihatsu,ダイハツ,大发
brand_mitsubishi,三菱,三菱
brand_subaru,スバル,斯巴鲁
brand_other,その他,其他
car_type,車名,车名
car_type_corolla,カローラ,卡罗拉
car_type_prius_c,アクア,Prius c
car_type_prius,プリウス,普瑞斯
car_type_sienta,シエンタ,Sienta
car_type_vellfire,ヴェルファイア,Vellfire
car_type_x-trail,エクストレイル,奇骏
car_type_note,ノート,Note
car_type_elgrand,エルグランド,君爵
car_type_leaf,リーフ,聆风
car_type_march,マーチ,March
car_type_fairlady_z,フェアレディＺ,Z系列
car_type_stepwgn,ステップワゴン,Stepwgn
car_type_insight,インサイト,洞察者
car_type_odyssey,オデッセイ,奥德赛
car_type_cx-5,ＣＸ－５,CX-5
car_type_bongo,ボンゴバン,Bongo
car_type_cx-8,ＣＸ－８,CX-8
car_type_axela,アクセラ,马自达3
car_type_flair_wagon,フレアワゴン,Flair Wagon
car_type_mx-5,アテンザ,MX-5
car_type_spacia,スペーシア,Spacia
car_type_wagon_r,ワゴンＲ,Wagon R
car_type_hustler,ハスラー,Hustler
car_type_jimny,ジムニー,Jimny
car_type_solio,ソリオ,Solio
car_type_every,エブリイ,Every
car_type_swift,スイフト,Swift
car_type_alto,アルト,Alto
car_type_tanto,タント,Tanto
car_type_move,ムーヴ,Move
car_type_outlander,アウトランダー,欧蓝德
car_type_outlander_phev,アウトランダーＰＨＥＶ,欧蓝德ＰＨＥＶ
car_type_pajero,パジェロ,帕杰罗
car_type_xv,ＸＶ,XV
car_type_levorg,レヴォーグ,Levorg
car_type_impreza,インプレッサスポーツ,翼豹
car_type_sambar,サンバートラック,Sambar
car_type_brz,ＢＲＺ,BRZ
car_type_stella,ステラ,Stella
car_type_justy,Justy,Justy
car_type_legacy_outback,レガシィアウトバック,傲虎
car_type_other,その他,其他
frequency,頻度,故障频率
always,常時、毎回,每天
sometimes,たまに,偶尔
only_once,過去に１、２回だけ,过去只有1或2次
parts,製品区分,推断故障评价
parts_label,製品区分,系统类别
gasoline_engine,ガソリンエンジン,发动机
battery,バッテリー・充電,电池・充电
transmission,トランスミッション,变速箱
chassis,シャーシ,底盘
car_body,ボディ,车身
AC,エアコン,空调
media,情報・AV機器,通信・音响设备
other,その他,其他
symptoms,主な症状,主要症状
startup_problem,始動不良・不可,启动不良・无法启动
idling_problem,アイドル不調,怠速不稳
engine_stop,エンスト,熄火
acceleration_problem,加速が悪い,加速不良
overheat,オーバーヒート,过热
allophone,異音がする,有异响
engine_check_lamp,チェックエンジンランプ点灯のみ（症状自覚なし）,发动机自检灯常亮
symptoms_detail,詳細,故障详细描述
not_cranking,クランキングしない,发动机曲轴不转
not_initial_explosion,初爆がない,没有点火迹象
not_complete_explosion,初爆があるが完爆がない,点火正常没有正常燃烧
long_startup_time,始動できるが始動時間が長い,启动时间过长
other_symptoms,他の症状,其他症状
malfunction_code,故障コード,故障码
detailed_information,詳細情報,详细描述
supplementary_picture,補足写真,参考照片
supplementary_picture_setting,補足写真設定,照片上传
send_lucky_money,TIP,红包打赏
send,送信,提出
send_post,送信,提交
send_complete,送信しました。,内容已发布
close,閉じる,关闭
# post_case,,
post_case_title,修理事例投稿,修理事例投稿
post_case_recommend,（投稿すると1000ptと5元がもらえます）,（本次投稿成功可获得1000积分和5元奖励）
title,タイトル,标题
repair_procedure,修理手順,诊断修理步骤
contents,内容,内容
picture,写真,照片
picture_setting,写真設定,照片上传
picture_select,フォルダーから,从文件夹选择
shooting,撮影,拍照
setting,設定,设置
delete,削除,删除
post,投稿,投稿
post_complete,投稿が完了しました,内容已发布
procedure,手順,修理手順步骤
procedure_header,手順,步骤
malfunction_code_1,故障コード1,故障码1
malfunction_code_2,故障コード2,故障码2
introduction,説明,注解
# search_case,,
enter_search_condition,検索条件入力,输入检索条件
free_word,フリーワード,其他检索关键字
search,検索,检索
component,製品区分,系统类别
repair_case_list,修理事例一覧,修理事例一览
repair_case_list_1,トヨタ_カローラ_2010_アイドル速度不良,丰田_卡罗拉_2010_怠速不良
repair_case_list_2,トヨタ_カローラ_2010_エンジンが起動できない,丰田_卡罗拉_2010_打不着火
repair_case_list_3,トヨタ_カローラ_2014_アイドル速度不良,丰田_卡罗拉_2014_怠速不良
repair_case_list_4,トヨタ_カローラ_2010_アイドル速度不良、エンジンが起動できない,丰田_卡罗拉_2010_怠速不良，打不着火
repair_case_list_5,トヨタ_カローラ_2016_アイドル速度不良,丰田_卡罗拉_2016_怠速不良
classification_denso,DENSO公式,电装公示
classification_launch_tech,Launch Tech,元征资源
classification_user,ユーザー投稿,用户投稿
# repair_case_list,,
search_results,検索結果,检索结果
case,件,件
classification,分類,类别
posted_date,投稿日,投稿日
user_confirmation,ユーザー確認,用户反馈
expert_confirmation,専門家確認,专家认证
detail,詳細,详细信息
# case_serch_detail,,
repair_case_detail,修理事例詳細,修理事例阅览
case_serch_detail_title,トヨタ_カローラ_2010_エンジンが起動できない,丰田_卡罗拉_2010_打不着火
case_serch_detail_poster,デンソー,电装
frequency_parameter,毎日,每天
parts_parameter,インヒビタースイッチ・ニュートラルスタートスイッチ,抑制器开关·空档启动开关
symptoms_parameter,始動不良・不可,启动不良・无法启动
detailed_information_parameter,クラッキングしない,发动机曲轴不转
other_symptoms_parameter,なし,无
malfunction_code_P0130,O2センサ系統B1S1,氧传感器系统B1S1
malfunction_code_B2312,D席マスタSW ON固着,驾驶席主控开关 固定ON
malfunction_code_B2313,窓位置・窓摺動特性記憶未実施,未记录窗口位置·窗口滑动特性
repair_procedure_1,エアフロセンサー周りの可カーボン付着、センサー部の劣化がみうけられた。<br>上記の原因により、吸入空気量が安定せず、アイドル回転数が不安定になっている。,空气传感器附近附着碳颗粒，使传感器部件老化。由于上述原因，进气量不稳定，造成怠速不稳定。
repair_procedure_2,カーボンの付着により、アイドル不安定・加速不良を起こしたものと思われる。,推定由于碳颗粒附着造成怠速不稳，加速不良。
confirm_result_1,修理手順で修理ができましたか？,修理诊断步骤是否能解决故障？
confirm_result_2,原因部品は同じでしたか？,实际故障部位（零件）是否与事例推断一致？
estimated_fault_location,推定故障箇所,推断故障部位（零件）
air_sensor,エアセンサー,空气传感器
extra_photo,補足写真,参考照片
extra_info_1,異物（カーボンの様な物）がセンサー（熱線）部に付着した事により、センサー部の熱を放熱する（放熱版の様な）役目をしてしまう。 その為、吸入空気量のデータ値は高め（吸入空気最大）に誤検出した。,由于异物（碳颗粒等）附着在传感器部位，引起传感器散热。因此，误检出进气量值过高。
extra_info_2,吸入空気量のデータ値が高かった為、<br>エアフローメータを調査した。,由于进气量值过高，对空气流量计进行了检查。
extra_info_3,（ご参考）作業風景,（参考）修理实况
users_review,ユーザーのレビュー,用户评论
confirm_fixation,結果確認,用户反馈
expert_valuation,専門家評価,专家评价
new_valuation,最新評価,最新点评
essence_area,精華エリア,精华区
general_area,自由投稿,自由投稿
#,,
# ------------------------------  procedure_review_modal  ---------------------------------------,,
#,,
procedure_review_1,エンジン自体の故障。原因は冷却水漏れによるオーバーヒート。,发动机故障。因冷却水泄漏造成发动机过热。
procedure_review_2,バッテリー故障が原因。バッテリーの交換。,由电池故障导致。更换电池。
#,,
# ------------------------------  password reset  ---------------------------------------,,
#,,
passwordresetpage,パスワード設定画面,密码重设画面
passwordreset,新しいパスワード,重设新密码
passwordresetconfirmation,パスワード確認,确认新密码
passwordresettransmission,確認,确定
passwordreset_error01,新しいパスワードとパスワード確認の入力内容が一致しません,两次输入密码不一致，请重新输入
passwordreset_error02,パスワードは8桁以上で入力してください,密码长度必须大于8个字符，请重新输入
passwordreset_error03,確認コードが間違っています。再度入力してください。,验证码不正确，请重新输入
passwordreset_error04,電話番号が間違っています。再度入力してください。,手机号不正确，请重新输入
passwordreset_send_sms,入力された電話番号に確認コードを送信しました。,已向输入的手机号码，发送确认码
#,,
# ------------------------------  user login  ---------------------------------------,,
#,,
phone_number_or_pw_wrong,電話番号またはパスワードが間違ってます,手机号码不存在或者密码错误
#,,
# ------------------------------  brand_symptom_details tab  ---------------------------------------,,
#,,
product_01,エアコン,空调
product_02,ガソリンエンジン,汽油（发动）机
product_03,シャーシ,底盘
product_04,ディーゼルエンジン,柴油机
product_05,トランスミッション（AT／CVT）,变速器（AT／CVT）
product_06,ハイブリッド,混合动力
product_07,バッテリ－・充電,电池・充电
product_08,ボディー,车体
product_09,情報・ＡＶ機器,信息・ＡＶ机器
product_10,その他,其他

symptom_0101,風は出るが、冷たくない,有风不能制冷
symptom_0102,風は出るが、温かくない,有风不能制热
symptom_0103,設定温度が同じだが、左右の風の温度が違う,同一温度设定下，左右出风的温度不同
symptom_0104,風量が不良,风量不正
symptom_0105,吹き出し口を切り替えできない,出风口不能切换
symptom_0106,外気導入と内気循環を切り替えできない,外循环和内循环相互不能切换
symptom_0107,異音がする,发生异响
symptom_0108,曇る・結露する,结霜，结露
symptom_0109,その他,其他
symptom_0201,始動不良・不可,启动不良・无法启动
symptom_0202,アイドル不調,怠速不稳
symptom_0203,エンスト,发动机熄火
symptom_0204,加速が悪い,加速无力
symptom_0205,オーバーヒート,过热
symptom_0206,異音がする,发生异响
symptom_0207,チェックエンジンランプ点灯のみ（症状自覚なし）,检查引擎灯亮（没有症状）
symptom_0208,その他,其他
symptom_0301,ABS作動不良,ABS作動不良
symptom_0302,トラクション制御不良,牵引控制不良
symptom_0303,車両安定（横滑り防止）制御が作動不良,车辆稳定（防止侧滑）控制失灵
symptom_0304,電動パワステ(EPS)が作動不良,电动力变压器(EPS)启动不良
symptom_0305,サスペンション作動不良,悬架操作不良
symptom_0306,ウォーニングランプ点灯（症状自覚なし）,步行灯亮（没有症状）
symptom_0307,その他,其他
symptom_0401,始動不良・不可,启动不良
symptom_0402,アイドル不調,怠速不稳
symptom_0403,エンスト,发动机熄火
symptom_0404,加速が悪い,加速不良
symptom_0405,オーバーヒート,过热
symptom_0406,異音がする,有异响
symptom_0407,白煙が多い,白烟多
symptom_0408,黒煙が多い,黑烟多
symptom_0409,チェックエンジンランプ点灯のみ（症状自覚なし）,检查引擎灯（没有症状）
symptom_0410,その他,其他
symptom_0501,発進できない,不能前进
symptom_0502,後退できない,不能后退
symptom_0503,変速しない,不能变速
symptom_0504,変速ショックが大きい,变速冲击大
symptom_0505,変速タイミングが不良,变速时机不良
symptom_0506,加速が悪くエンジン回転数が上昇する（滑る）,加速不好，引擎转速上升
symptom_0507,異音がする,有异响
symptom_0508,その他,其他
symptom_0601,Ready/走行可能表示灯が点灯しない,可行驶指示灯不能点亮
symptom_0602,走行不能,不能前进
symptom_0603,EV走行不能,电动汽车不能前进
symptom_0604,加速が悪い,加速不良
symptom_0605,エンジンが停止しない,引擎不能停止
symptom_0606,異音がする,有异响
symptom_0607,警告灯・表示灯が点灯・点滅する（症状自覚なし）,警告灯、指示灯不能亮灭（没有症状）
symptom_0608,充電ができない/終わらない(PHVのみ),不能充电/不能充电停止(只有PHV)
symptom_0609,その他,其他
symptom_0701,バッテリー上がり,电池用完
symptom_0702,チャージウォーニングランプ点灯,充电步灯亮起
symptom_0703,その他,其他
symptom_0801,ドアロック作動不良,门锁故障
symptom_0802,パワーウィンドウ作動不良,车窗故障
symptom_0803,パワースライドドア作動不良,车门故障
symptom_0804,ワイパー作動不良,雨刮器故障
symptom_0805,メータ作動不良,仪表故障
symptom_0806,セキュリティ作動不良,安全系统故障
symptom_0807,ライティング作動不良（外装）,照明操作不良（外装）
symptom_0808,ライティング作動不良（内装）,照明操作不良（内装）
symptom_0809,SRSエアバッグ作動不良,安全气囊故障
symptom_0810,クリアランスソナー作動不良,清楚声纳故障
symptom_0811,その他,其他
symptom_0901,ナビゲーションの作動不良,导航故障
symptom_0902,オーディオの作動不良,音响故障
symptom_0903,画面（モニター）の作動不良,显示器故障
symptom_0904,周辺監視モニタの作動不良,周边监视装置显示屏故障
symptom_0905,その他,其他
symptom_1001,その他（自由記述）,其他(自由描述)

details_010101,風は出るが、冷たくない,有风不能制冷
details_010201,風は出るが、温かくない,有风不能制热
details_010301,設定温度が同じだが、左右の風の温度が違う,同一温度设定下，左右出风的温度不同
details_010401,風が出ない,不出风
details_010402,風量を切り替えできない,风量大小不能调节
details_010501,吹き出し口を切り替えできない,出风口不能切换
details_010601,外気導入と内気循環を切り替えできない,外循环和内循环相互不能切换
details_010701,異音がする,发生异响
details_010801,曇る・結露する,结霜，结露
details_010901,スイッチ操作を受け付けない,不能正常开关
details_010902,不具合は感じないがエアコンパネルのランプが点滅,感觉不到故障，但是空调面板的灯忽亮忽灭
details_010903,電動ファンが回りっぱなし,风扇一直转动
details_010904,車室内に水漏れ,车内漏水
details_010905,その他（自由記述）,其他(自由描述)
details_020101,クランキングしない,发动机曲轴不转
details_020102,初爆がない,没有点火迹象
details_020103,初爆はあるが完爆がない,点火正常没有正常燃烧
details_020104,始動できるが始動時間が長い,启动时间过长
details_020105,その他（自由記述）,其他(自由描述)
details_020201,アイドル回転数が高い,怠速转速过高
details_020202,アイドル回転数が低い,怠速转速过低
details_020203,アイドル回転数が不安定,怠速转速不稳定
details_020204,その他（自由記述）,其他(自由描述)
details_020301,エンスト,发动机熄火
details_020401,息つき・もたつき,加速缓慢
details_020402,出力不足,输出不足
details_020403,その他（自由記述）,其他(自由描述)
details_020501,オーバーヒート,过热
details_020601,ノッキング音,爆震声
details_020601,破裂音,破裂音
details_020602,その他（自由記述）,其他(自由描述)
details_020701,チェックエンジンランプ点灯のみ,检查引擎灯亮
details_020801,走行中にギクシャクする,行驶中摇晃
details_020802,発進時に息つき・もたつき,行驶缓慢
details_020803,その他（自由記述）,其他(自由描述)
details_030101,ブレーキ時にABSが作動しない（タイヤがロックが継続する）,刹车时ABS不启动（轮胎继续锁定）
